	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
can	7860	10483	42	42
yadG	854	1201	27	33
yadH	483	761	36	36
yadD	396	529	12	18
panC	2649	4100	46	59
yadL	19	40	4	4
ecpD	9	9	0	0
pcnB	1859	2560	16	20
yadB	236	323	13	7
sfsA	1660	2021	1564	1589
mrcB	1539	2297	36	52
fhuA	5491	8279	286	339
fhuC	420	725	16	17
fhuD	282	507	1	2
hemL	2194	3327	223	296
clcA	821	1082	128	141
yadS	183	282	6	7
btuF	213	322	2	3
pfs	1858	2568	121	104
dgt	899	1253	11	21
degP	3942	6474	228	214
cdaR	156	232	42	57
dapD	13366	19986	96	108
glnD	922	1215	30	25
map	4040	5359	125	126
rpsB	35188	51824	438	577
tsf	22872	35019	166	218
pyrH	4249	6133	58	77
dxr	736	981	40	63
ispU	3156	4146	44	45
cdsA	1343	1995	83	86
yaeL	5186	6847	142	150
yaeT	14267	19987	202	253
lpxD	7145	10452	144	177
lpxA	2998	4840	102	121
lpxB	1385	2085	12	27
dnaE	3167	4313	62	47
accA	3240	4865	69	76
ldcC	399	587	124	136
nlpE	391	515	46	42
proS	6693	10197	145	146
yaeB	107	141	9	13
metQ	9594	13983	85	69
metI	2289	3293	29	27
metN	2318	3706	14	26
dkgB	418	554	9	13
yafC	340	498	47	40
yafD	799	1166	239	197
mltD	11825	16086	115	148
gloB	638	798	73	55
yafS	380	508	25	29
dnaQ	1056	1407	105	101
yafT	11	16	0	0
yafV	227	291	57	60
fadE	341	498	1954	2153
yafJ	639	891	11	11
yafK	1468	2013	24	22
dinB	138	224	54	60
pepD	5011	6867	142	163
frsA	425	608	52	33
phoE	49	40	1	1
proB	1535	2451	41	49
proA	2284	3574	139	139
yagR	22	38	14	15
yagS	3	8	2	2
yagT	7	8	3	3
yagU	633	938	26	42
yagV	47	44	4	4
yagW	79	112	11	8
yagX	74	101	8	13
yagY	14	16	1	1
insF	1303	1798	45	90
ykgC	93	150	31	35
ykgD	64	88	8	6
ykgE	62	59	13	17
ykgF	125	202	28	18
ykgG	115	169	8	7
betA	327	509	1	4
betT	430	668	105	111
yahB	168	221	18	9
yahD	71	83	9	10
yahG	31	38	2	1
yahI	12	27	0	2
yahJ	194	306	13	9
yahK	677	939	58	57
yahN	10	15	29	21
prpR	39	38	85	133
prpB	2	2	112	282
prpC	8	14	12	59
prpD	15	14	28	52
prpE	32	38	24	67
codB	3317	5340	6	10
