	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
ykgE	1456	1206	1450	1198
ykgF	2370	2116	2349	2100
ykgG	1193	1037	1045	924
betA	173	166	148	141
betT	346	292	328	280
yahB	144	123	134	116
yahD	35	25	35	25
yahG	4	8	4	7
yahI	19	17	14	11
yahJ	82	68	65	57
yahK	283	289	279	283
yahN	47	39	44	37
prpR	131	95	119	89
prpB	58	55	52	46
prpC	103	74	91	68
prpD	154	106	146	97
prpE	272	194	253	178
codB	368	404	342	372
codA	479	479	471	468
cynT	17	16	17	16
cynX	18	8	18	8
lacY	32	31	31	30
lacI	737	594	718	585
mhpR	1601	1421	1395	1253
mhpB	15	13	18	13
mhpC	38	33	36	32
mhpD	31	26	30	24
mhpF	39	44	38	43
mhpE	57	51	57	51
mhpT	53	54	45	52
frmA	398	395	362	369
yaiO	55	52	53	49
yaiP	17	12	17	13
tauA	32	39	28	38
tauB	20	21	20	21
tauD	30	25	26	22
hemB	962	882	914	844
yaiV	13	11	13	11
ampH	285	239	273	227
sbmA	212	182	208	179
yaiW	341	313	323	296
ddlA	2134	1798	2007	1708
phoA	224	182	222	179
yaiC	23	21	23	21
proC	178	170	178	170
aroM	82	79	81	75
rdgC	1013	991	939	923
mak	504	434	473	413
araJ	127	95	99	82
sbcD	284	241	275	232
phoB	189	179	189	179
phoR	154	169	149	166
brnQ	208	179	206	180
proY	246	217	238	212
malZ	309	313	290	294
queA	100	84	92	79
tgt	2801	2474	2801	2474
secD	7061	6604	6695	6225
secF	3694	3517	3562	3366
tsx	5387	4529	5337	4486
ribD	625	576	601	545
thiL	256	196	242	188
yajO	1319	1105	1153	984
dxs	1110	1009	1028	946
ispA	657	600	622	562
thiI	393	372	360	346
panE	247	217	216	195
yajR	295	243	268	231
cyoE	4450	4195	4272	4021
cyoC	3149	2924	3085	2861
cyoB	14175	13076	13991	12918
cyoA	10111	9355	9767	9056
ampG	199	163	187	155
tig	16101	15870	16057	15842
clpP	1534	1412	1531	1406
clpX	5279	4755	4943	4456
lon	5722	5384	5752	5399
ppiD	7845	7258	7599	7019
queC	477	468	440	425
ybaE	340	300	318	287
cof	163	155	190	183
mdlA	255	207	244	203
mdlB	173	157	170	151
amtB	92	75	82	68
tesB	167	163	167	162
ylaB	222	205	221	204
acrB	6312	5874	6129	5716
acrA	3166	3001	3166	2999
acrR	403	334	403	334
kefA	1403	1367	1316	1285
dnaX	969	819	921	788
recR	599	537	555	498
htpG	4626	4260	4532	4186
adk	3774	3686	3760	3672
hemH	207	193	202	188
aes	279	227	273	220
gsk	514	413	487	387
ybaL	599	489	548	448
fsr	159	114	157	114
ushA	1683	1453	1811	1575
ybaP	91	70	82	67
copA	537	476	478	428
ybaS	23	32	22	30
ybaT	47	41	47	41
ybbK	651	532	631	517
ybbL	211	178	201	173
ybbM	223	209	223	208
ybbN	735	728	711	710
ybbO	134	129	123	116
tesA	246	221	246	221
ybbA	177	136	172	135
ybbP	393	314	372	298
ybbB	68	61	64	58
ybbS	13	16	13	14
allR	894	693	886	686
gcl	34	41	29	34
hyi	14	12	14	12
glxR	16	17	16	17
ybbW	23	21	20	19
allB	120	127	108	116
ybbY	13	16	13	12
glxK	92	89	91	87
ylbA	228	210	220	203
allC	181	129	169	118
allD	72	65	71	62
ylbE	49	28	48	27
ylbF	14	18	13	16
ybcF	38	21	29	17
purK	886	717	740	601
lpxH	281	242	249	214
cysS	956	920	939	914
folD	551	512	522	486
sfmC	17	14	17	12
