	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2	IAI1_K12ref_batch1	IAI1_K12ref_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
hyfA	4	3	4	5	1	0	0	1	4	5	1	0	0	1	5	5	1	0	4	3	4	5	1	0
hyfC	3	6	5	10	15	6	11	13	8	5	0	1	11	13	9	5	0	1	3	6	5	10	14	6
hyfD	6	3	9	9	8	6	10	15	22	12	2	3	11	17	25	12	3	3	6	3	9	9	8	6
hyfE	6	2	7	0	8	5	9	15	17	5	0	1	10	15	17	5	0	1	6	2	7	0	8	5
hyfG	13	13	19	20	13	8	31	44	40	19	7	7	32	48	41	19	7	7	13	13	18	20	13	8
hyfI	6	6	14	8	5	3	14	18	20	9	1	4	14	19	20	10	1	4	6	5	14	8	4	3
perM	263	196	320	245	278	213	318	421	375	230	7	17	326	435	383	238	7	17	262	194	316	243	277	211
yfgC	855	606	1642	1487	795	555	1509	2023	1964	1076	53	69	1526	2035	1979	1086	53	70	847	599	1624	1472	786	549
hda	558	414	436	356	158	106	1016	1465	968	534	4	5	996	1422	952	522	4	5	540	397	423	353	158	106
uraA	1187	918	576	554	23	21	3244	5031	2524	1389	9	14	3279	5099	2549	1405	9	14	1176	911	569	545	23	21
upp	3026	2098	2141	2143	50	19	6549	8651	4406	2393	13	14	6661	8778	4495	2444	13	14	2933	2026	2092	2088	48	18
purM	4147	2809	2791	2517	124	98	2842	4708	2994	1733	30	26	2878	4784	3034	1756	31	26	4119	2778	2769	2497	123	98
purN	1075	751	499	460	46	37	1098	1576	866	549	6	9	1100	1589	869	553	6	9	1071	745	496	457	46	36
ppk	847	600	915	784	924	787	1275	1550	1258	740	101	87	1347	1624	1321	782	105	92	807	567	873	739	882	751
ppx	713	474	659	605	308	249	1068	1499	1154	633	23	31	1097	1541	1188	648	23	32	694	462	641	596	302	244
yfgF	68	56	110	89	74	48	73	101	102	62	7	13	73	102	102	62	7	13	67	53	110	88	74	48
guaA	4792	3023	2036	1880	397	340	8396	13758	5591	3126	38	50	8514	13991	5682	3165	39	51	4729	2986	1999	1852	389	333
guaB	3819	2538	1433	1247	123	109	5586	8397	3041	1981	18	14	6107	9202	3373	2176	20	16	3463	2320	1297	1122	117	98
xseA	516	294	253	215	66	52	771	945	526	350	5	7	813	1013	550	366	5	7	483	277	238	200	63	50
der	1867	1396	1605	1421	374	284	2550	3520	2747	1605	92	101	2589	3569	2788	1626	92	101	1845	1379	1584	1410	373	281
yfgL	4077	2966	4217	3794	650	501	3412	5229	3749	2111	135	181	3439	5264	3769	2122	135	182	4063	2948	4205	3777	650	501
yfgM	1867	1365	1800	1712	343	266	2204	3269	2542	1343	38	40	2204	3269	2542	1343	38	40	1867	1365	1800	1712	343	266
hisS	4259	2941	3265	2891	709	515	5062	7145	5528	3139	96	100	5345	7466	5768	3272	99	104	4329	2987	3337	2948	724	521
ispG	1636	1213	1607	1445	944	687	2295	3202	3107	1744	350	414	2395	3341	3237	1813	367	432	1658	1250	1631	1479	962	703
yfgA	1253	822	1339	1118	997	803	1559	1984	2003	1154	380	373	1612	2076	2094	1213	400	387	1179	784	1278	1061	953	752
yfgB	1216	841	1031	948	182	136	1376	1831	1921	1063	43	51	1398	1857	1941	1078	43	51	1184	822	1013	928	179	129
pbpC	131	80	229	195	39	42	82	143	139	60	6	5	83	143	142	61	6	5	128	78	225	186	36	41
sseA	591	336	2619	2158	1263	1045	578	766	1575	683	469	459	578	766	1576	683	472	459	591	335	2617	2156	1260	1045
sseB	571	349	592	489	487	356	741	1177	933	538	17	13	749	1197	944	543	17	13	561	345	575	480	485	354
pepB	1247	683	1578	1384	695	482	1774	2594	3184	1628	55	58	1816	2678	3255	1679	56	61	1203	663	1532	1337	668	467
hscA	2196	1199	1698	1661	722	567	2469	3836	2815	1659	36	43	2551	3988	2889	1719	36	46	2140	1168	1661	1621	707	554
iscS	6003	3204	7660	8281	9176	6872	5553	7749	9476	5727	414	469	5579	7794	9518	5760	415	470	5979	3189	7629	8252	9161	6867
yfhQ	574	341	488	388	423	330	919	1519	1053	642	54	69	968	1575	1100	665	57	75	509	321	458	361	393	311
suhB	1684	1323	878	721	58	43	2086	2758	1564	918	16	14	2136	2840	1610	942	17	18	1620	1288	861	707	58	42
yfhR	22	13	25	26	13	10	25	38	32	21	5	6	26	37	31	22	4	6	21	13	24	23	13	10
hcaT	136	77	299	216	239	186	104	138	248	113	65	72	106	141	255	119	65	72	130	73	290	211	235	181
hcaR	506	357	5498	4341	2051	1540	509	668	5669	2045	78	89	474	633	5402	1950	74	82	485	333	5204	4106	1872	1437
hcaE	21	13	43	37	29	20	123	186	337	157	13	9	123	186	338	157	13	9	21	13	43	37	29	20
hcaB	13	7	29	29	9	3	23	62	77	42	3	0	23	62	77	42	3	0	13	7	29	29	9	3
yphB	29	24	69	65	171	113	69	97	110	58	11	5	74	97	114	58	11	5	29	24	69	65	171	113
yphC	27	19	82	56	209	127	48	79	124	49	4	3	58	92	136	54	3	5	26	17	79	46	192	111
yphD	9	2	35	31	193	111	17	27	31	10	6	4	21	34	37	12	6	4	9	2	33	25	163	95
yphE	26	22	114	98	433	316	17	30	78	41	6	13	25	35	94	45	8	12	24	19	89	81	363	260
yphF	13	10	112	93	501	367	17	33	79	37	10	14	18	37	92	43	11	16	12	9	96	77	454	319
yphH	126	93	187	160	109	94	322	449	480	218	28	23	328	464	488	220	28	24	120	91	179	154	107	94
glyA	22427	15714	16726	15274	2159	1693	25527	37418	19496	10100	108	128	26485	39053	20340	10566	112	139	21403	14955	15946	14578	2009	1581
hmp	386	296	963	832	1194	1072	497	915	896	476	69	76	498	925	903	477	69	78	383	294	956	826	1190	1069
yfhA	424	326	444	335	47	36	495	706	488	265	2	9	544	787	545	297	5	11	374	284	382	289	42	31
yfhG	317	238	286	262	74	41	354	443	392	202	18	14	295	377	324	176	8	10	240	153	227	191	58	30
yfhK	395	241	477	374	144	102	471	625	661	360	60	70	491	659	697	375	61	70	377	229	463	359	137	96
yfhD	241	194	184	168	44	16	291	419	328	170	5	11	322	449	349	193	6	11	261	213	195	174	46	19
yfhB	212	187	242	200	268	174	316	503	416	244	37	39	328	526	437	256	37	41	221	194	258	217	282	177
yfhH	143	123	272	217	73	70	176	265	257	140	10	2	180	269	260	140	10	2	143	123	272	215	73	70
pdxJ	1201	850	1408	1266	281	208	1097	1744	1220	588	29	36	1428	2170	1536	783	33	41	1000	702	1156	1048	243	165
recO	474	341	339	352	50	45	605	890	614	350	36	31	617	917	627	358	36	31	466	337	336	347	47	45
era	1511	1018	1106	949	137	95	1479	2018	1589	874	164	188	1913	2607	2012	1149	236	258	1155	758	823	734	112	72
rnc	1018	691	691	590	85	71	1347	1832	1225	765	193	286	1574	2080	1377	874	194	286	1072	740	736	615	90	74
lepB	1660	1136	1490	1339	256	229	1855	2624	2243	1268	90	121	1979	2825	2428	1374	101	128	1527	1051	1370	1240	242	210
lepA	4341	3036	3573	3253	379	267	4081	6237	5080	2840	80	117	4172	6390	5191	2909	83	119	4270	2982	3516	3203	364	264
rseB	873	647	1648	1264	675	507	1353	1877	2156	1114	73	81	1354	1878	2158	1115	73	81	872	646	1647	1263	675	507
rseA	2194	1616	7225	5984	6885	5368	3759	5638	6715	3520	1433	1390	3763	5640	6719	3521	1433	1391	2192	1615	7221	5981	6881	5367
yfiC	192	135	218	200	38	19	274	393	289	162	4	3	287	427	313	173	4	3	176	126	208	186	36	17
srmB	506	280	327	287	160	125	555	778	707	423	15	13	616	837	781	458	16	14	481	268	308	272	153	116
yfiE	93	70	125	120	246	208	120	211	166	91	15	17	147	257	215	124	17	21	76	59	102	102	210	171
ung	340	274	391	341	142	113	724	954	753	409	22	14	789	1042	811	440	26	18	303	249	366	313	127	104
yfiF	970	675	737	683	124	105	1417	1879	1294	764	50	55	1446	1962	1320	772	47	50	888	616	681	627	112	97
yfiP	70	62	74	49	22	19	141	146	118	54	3	3	143	150	120	55	3	3	66	61	70	45	21	18
yfiQ	405	335	3946	3295	4586	3735	598	832	3850	1554	1036	1104	619	859	4008	1607	1088	1158	384	320	3757	3177	4393	3565
pssA	2042	1401	4029	3503	2643	2081	2772	3603	5024	2360	364	353	2818	3655	5083	2401	369	355	2019	1382	3991	3473	2622	2061
kgtP	795	563	4746	4081	3270	2418	10497	13360	21628	10824	1774	1891	11109	14316	22997	11537	1881	2027	744	523	4412	3788	3028	2260
clpB	3454	2614	5540	5135	23547	19803	7036	11271	9327	5774	956	1016	7236	11636	9565	5936	985	1052	3350	2544	5380	4973	22700	19108
yfiH	328	257	179	159	55	63	486	673	390	184	13	9	503	712	414	195	13	11	302	237	167	144	51	59
rluD	671	483	561	498	305	282	1303	1665	1129	631	62	71	1408	1768	1202	669	65	81	601	438	517	462	285	260
yfiO	2593	1901	3585	3271	956	650	5892	7442	5662	3265	65	66	5919	7482	5696	3279	66	66	2583	1895	3567	3258	951	649
pheA	1982	1349	883	849	486	384	3095	3818	2456	1470	33	25	3375	4150	2678	1599	34	30	1854	1253	832	786	446	354
tyrA	4932	3013	1470	1481	305	216	3003	4177	1773	1050	77	63	3246	4547	1939	1138	81	67	4567	2814	1355	1375	281	198
aroF	5935	4057	2007	1884	249	186	5815	7511	3410	1827	98	130	5827	7532	3415	1830	98	130	5927	4049	2003	1882	249	186
yfiN	87	54	107	78	96	68	124	171	105	65	2	7	130	175	109	67	2	7	86	52	103	75	95	65
trmD	24226	17483	16382	15633	2183	1826	35902	48325	31582	16544	262	303	35920	48359	31601	16555	262	303	24215	17466	16378	15623	2182	1823
ffh	1920	1287	1428	1321	992	897	2153	3257	2287	1305	136	143	2626	3986	2808	1605	181	193	2035	1354	1535	1394	1073	979
ypjD	361	225	348	278	89	55	372	480	443	253	7	7	349	455	421	243	7	6	343	219	335	271	84	53
yfjD	495	366	582	470	212	178	629	857	552	359	14	11	704	949	602	400	15	12	465	360	571	468	202	174
yfjB	226	168	315	279	232	178	328	431	371	243	15	23	331	432	371	243	15	23	226	167	314	278	232	178
recN	255	167	309	271	581	468	518	664	783	431	104	138	519	664	783	431	104	138	255	167	308	271	581	468
gabT	82	57	1048	820	421	259	106	181	790	396	286	435	125	207	879	443	310	482	74	51	901	707	351	226
gabP	28	18	262	229	154	108	36	59	231	126	32	30	50	72	263	147	32	31	21	16	228	196	124	87
csiR	166	109	338	227	279	234	151	233	391	185	44	67	156	235	402	188	46	71	160	105	327	223	274	231
nrdF	164	68	106	71	33	22	111	123	260	149	8	5	114	124	265	150	8	5	163	68	106	71	33	22
proV	793	461	283	225	77	69	1393	1687	1437	870	5	12	1399	1691	1448	883	5	12	788	457	278	224	77	68
proW	295	161	76	92	27	27	340	491	408	272	6	9	366	519	440	307	6	9	282	154	69	83	25	26
proX	412	201	248	223	63	37	907	1115	1865	974	12	9	1020	1279	2107	1126	12	10	357	178	227	191	54	36
ygaZ	780	478	597	490	218	156	714	1033	724	383	19	13	714	1035	724	383	19	13	779	477	596	489	218	156
emrA	405	304	141	123	19	8	563	792	446	253	6	10	617	861	486	277	9	11	391	288	140	119	18	8
emrB	321	261	135	139	45	37	323	505	267	173	53	47	365	557	305	184	59	51	292	238	123	125	40	34
gshA	2460	1838	2255	2150	908	678	3458	5002	3538	2069	165	177	3539	5098	3601	2111	163	173	2393	1788	2186	2088	885	656
alaS	14322	9894	11708	11123	1874	1398	17443	24665	15332	8634	150	176	17716	25082	15586	8771	151	176	14021	9713	11499	10943	1856	1378
recA	3395	2377	3726	3311	1693	1439	5014	7427	7236	3950	554	493	5053	7480	7275	3970	556	496	3293	2304	3626	3201	1640	1383
mltB	184	103	106	91	6	11	159	198	178	86	4	5	159	199	178	86	4	5	183	103	106	91	6	11
srlE	15	4	31	34	109	88	22	22	75	40	8	9	22	22	75	40	8	9	14	4	31	34	109	88
srlD	82	57	92	93	186	116	104	143	150	90	15	19	104	143	150	90	15	19	82	57	92	93	186	116
srlR	201	116	412	347	606	519	277	389	543	241	27	21	299	422	582	260	28	23	188	110	383	333	587	490
gutQ	205	153	420	347	377	277	191	313	351	170	18	20	203	334	386	181	18	22	186	133	387	307	347	253
norV	13	3	24	17	33	26	56	81	75	44	4	7	64	96	83	52	6	8	9	3	22	17	30	22
norW	22	11	17	17	14	7	30	26	27	32	1	1	31	27	29	33	1	1	21	11	17	17	14	7
ascG	338	238	419	359	98	85	638	893	909	462	9	11	646	907	924	472	9	11	332	236	413	356	98	84
ascF	16	13	35	41	89	73	61	88	116	65	19	24	63	92	120	66	18	25	12	13	35	38	85	68
hycG	37	17	64	56	19	8	32	48	57	22	3	2	36	56	66	24	4	2	31	14	52	37	14	8
hycE	17	4	21	22	5	2	14	19	29	15	0	1	19	21	34	17	1	1	15	3	16	17	4	1
hycD	6	7	8	5	2	1	8	8	5	7	0	1	8	9	6	8	0	1	4	7	6	4	2	0
hycC	7	12	12	11	7	8	4	13	13	3	0	0	5	15	15	4	0	0	7	12	10	9	5	6
hycB	5	1	2	2	0	0	1	4	11	3	0	0	1	4	11	3	0	0	5	1	2	1	0	0
hypB	54	36	126	105	73	52	57	102	130	72	4	4	58	104	132	72	4	4	53	36	126	103	73	51
hypD	65	60	121	107	55	57	249	358	643	317	21	16	280	408	721	353	23	23	50	40	97	75	40	48
hypE	79	65	100	99	46	52	85	143	170	66	21	24	101	172	200	78	25	33	59	58	86	90	44	42
fhlA	74	52	87	84	77	78	99	115	152	95	25	22	103	122	161	101	25	23	67	45	80	78	73	72
mutS	692	471	656	589	136	82	848	1358	1028	565	9	11	981	1535	1187	645	11	14	625	410	570	520	125	76
ygbI	233	166	701	596	545	398	403	483	739	375	42	54	397	476	736	375	41	54	231	166	698	596	542	396
ygbJ	16	14	62	35	152	136	35	46	63	46	41	42	35	46	63	46	41	42	16	14	62	35	152	136
ygbK	39	27	83	56	144	123	52	83	78	51	23	29	47	80	73	48	22	27	36	25	73	52	131	113
ygbL	21	12	28	27	92	50	26	45	36	22	4	5	28	49	41	25	4	6	21	12	31	30	99	55
ygbM	31	25	48	34	103	73	34	48	42	28	4	7	34	49	43	28	4	7	31	25	46	34	102	70
ygbN	30	20	64	35	63	61	65	87	111	48	7	10	66	94	116	52	8	11	30	20	64	35	63	61
nlpD	11162	8193	40216	35415	63600	55788	24709	33800	61037	28516	2512	2666	26066	35717	64314	30073	2653	2838	11210	8168	40414	35632	64583	56790
pcm	670	415	632	533	240	156	817	1115	980	486	57	63	819	1126	985	490	57	63	668	413	630	530	240	156
surE	720	461	570	503	242	151	588	748	628	337	28	37	807	1146	934	481	40	52	444	280	351	331	153	94
truD	1282	847	1164	1052	263	210	1608	2238	1967	967	54	55	1614	2252	1976	972	54	55	1281	845	1158	1044	263	209
ispD	624	423	468	424	44	35	549	856	429	243	5	11	582	909	449	261	5	12	588	401	434	400	40	34
cysC	2209	1373	1011	867	43	33	2019	2932	2170	887	6	19	2022	2938	2176	887	6	19	2207	1372	1008	866	43	33
cysN	8430	5542	3931	3748	216	158	6819	10238	8003	3569	57	77	7554	11395	8817	3925	59	80	7519	4981	3531	3352	203	148
cysD	4831	3141	1964	1837	84	50	5236	7384	5447	2381	14	29	5250	7397	5452	2385	14	29	4823	3139	1963	1835	84	50
iap	199	152	230	202	138	133	280	400	304	184	7	11	290	414	316	191	7	11	193	150	220	195	134	128
cysH	4612	3377	2368	2318	50	41	4249	6252	4823	2110	27	35	5027	7259	5605	2480	28	41	3872	2837	1974	1994	40	34
cysI	9685	6504	4546	4707	74	31	8437	12977	9405	4290	38	68	9208	14204	10254	4699	41	68	8689	5871	4065	4228	69	31
cysJ	6920	4520	2541	2493	36	17	7325	10794	6832	3154	22	27	7565	11203	7055	3247	22	27	6745	4410	2465	2424	36	17
ygcQ	37	24	38	30	15	12	24	56	37	34	2	2	24	56	37	34	2	2	37	24	38	30	15	12
ygcR	8	11	21	22	3	5	18	16	15	13	1	0	18	16	15	13	1	0	8	11	21	22	3	5
ygcS	9	6	10	9	7	4	16	18	31	11	0	2	16	18	31	11	0	2	9	6	10	9	7	4
ygcU	31	21	99	111	29	21	23	32	56	28	2	2	27	35	62	30	2	3	25	18	93	104	28	20
ygcW	13	9	71	59	15	13	2	4	25	10	2	1	2	4	25	10	2	1	13	8	71	59	15	13
yqcE	26	28	66	64	30	22	39	43	87	42	1	3	44	48	100	46	1	3	24	27	61	58	27	22
ygcF	498	411	473	429	456	350	679	923	691	400	498	470	688	928	695	403	501	472	497	409	469	426	456	349
eno	33637	26255	13729	12550	1838	1349	37226	59221	28639	17373	1620	1848	37245	59259	28655	17383	1620	1850	33565	26188	13705	12519	1828	1343
pyrG	6889	5208	3528	3354	919	689	8282	12308	6330	3792	999	973	8532	12711	6555	3939	1033	1021	6721	5094	3439	3282	895	674
mazG	609	520	818	662	301	259	857	1125	948	502	74	69	901	1204	1050	555	84	88	574	491	762	629	281	242
relA	2610	1868	3245	2915	2045	1440	2649	3698	3444	1797	127	137	2947	4130	3823	2005	136	152	2336	1637	2884	2598	1792	1283
barA	532	443	605	521	179	142	746	1033	794	463	18	21	762	1052	817	474	18	21	524	432	592	514	177	141
gudD	112	77	174	153	366	263	126	227	222	122	20	23	130	235	235	130	21	24	104	74	169	137	357	253
gudX	48	45	94	81	303	217	53	83	98	39	7	20	65	98	115	50	8	22	42	38	78	70	258	182
gudP	11	16	40	45	483	428	11	24	54	28	21	14	12	24	57	30	22	14	10	16	39	42	465	410
truC	202	116	181	123	9	8	197	315	225	116	4	3	208	325	235	122	4	3	196	115	175	117	9	8
queF	693	493	673	534	239	192	863	1122	885	517	13	17	875	1144	903	523	14	17	682	483	663	523	235	186
ygdH	736	439	1449	1239	879	833	735	845	1115	570	262	268	739	849	1123	572	263	268	734	439	1444	1233	879	832
sdaC	412	283	117	100	57	46	633	846	941	655	34	41	641	856	954	666	35	42	410	278	115	98	55	46
sdaB	210	175	112	96	69	66	256	464	367	233	16	13	268	487	380	242	16	14	196	163	104	90	66	61
exo	148	112	272	231	98	83	146	213	255	170	6	7	145	211	252	167	6	7	147	112	271	229	97	83
fucO	96	69	4493	3809	1479	940	117	142	1288	467	59	79	117	142	1288	467	59	79	96	69	4489	3807	1479	940
fucA	19	13	887	756	358	248	29	50	452	158	19	17	32	51	478	170	20	17	19	13	910	779	361	249
fucP	10	13	153	110	252	225	24	30	98	40	17	19	26	30	106	42	21	19	9	13	144	100	235	203
fucI	74	35	418	400	373	257	45	77	283	143	23	19	46	82	294	147	26	19	72	34	404	393	368	248
fucK	92	63	277	269	256	211	144	181	247	151	12	15	144	181	247	151	12	15	92	63	277	269	256	211
fucR	354	241	2031	1791	575	460	386	469	1465	642	22	27	386	469	1465	642	22	27	354	241	2031	1791	575	460
ygdE	540	422	549	490	235	182	623	943	815	441	47	43	623	943	815	441	47	43	540	422	549	490	235	182
gcvA	274	182	284	243	242	214	384	503	430	211	32	29	399	528	447	223	34	32	262	175	273	231	233	207
csdA	309	202	237	195	109	89	311	432	339	190	9	15	384	508	408	217	12	17	260	180	205	170	98	73
ygdL	356	219	295	279	92	68	362	599	427	209	19	13	381	616	453	222	20	13	342	212	285	274	88	65
mltA	1331	959	2118	1791	1064	833	921	1256	954	468	46	43	972	1354	1015	496	46	47	1245	889	1988	1677	997	781
amiC	856	709	560	467	85	64	677	1181	1399	726	17	13	756	1314	1555	813	18	15	776	623	510	413	80	57
argA	7972	5541	2756	2681	213	172	4612	6688	3746	1655	33	39	4819	7010	3950	1754	35	41	7547	5238	2597	2543	192	161
recD	700	490	569	517	106	71	658	1072	822	420	36	28	687	1125	861	438	39	32	663	474	537	481	103	69
ptr	961	719	1278	1115	302	234	1245	1872	1603	843	26	23	1333	1976	1699	905	26	23	922	686	1216	1061	291	224
recC	732	485	758	617	316	280	1015	1318	1097	582	31	45	1049	1368	1139	616	34	45	705	468	728	600	300	270
thyA	1011	665	699	658	301	227	1167	1515	1010	619	8	10	1306	1721	1139	697	8	12	889	596	620	583	256	184
lgt	599	350	470	386	105	77	783	1081	819	460	5	11	827	1133	859	484	5	12	578	342	453	376	102	75
ptsP	1445	962	1402	1164	459	324	2436	3417	2755	1637	65	47	2443	3425	2759	1641	65	47	1444	959	1400	1163	458	324
mutH	150	108	257	201	189	169	171	224	236	102	12	16	171	224	238	103	12	16	149	108	257	201	188	169
ygdQ	111	68	128	92	76	77	160	177	148	127	7	9	163	181	152	133	7	10	106	64	124	91	73	76
tas	582	359	457	477	397	370	841	1161	908	572	50	60	841	1161	908	572	50	60	582	359	457	477	397	370
ygeD	283	185	345	333	106	69	247	292	279	126	23	30	247	292	279	126	23	30	283	185	345	333	106	69
aas	872	543	1065	940	143	92	875	1210	878	538	31	34	902	1255	909	552	31	34	851	535	1046	919	141	91
galR	257	175	281	243	189	165	333	417	448	201	23	32	337	419	452	204	24	32	255	175	280	241	187	165
lysA	1853	1221	933	865	30	24	1436	2131	1488	752	14	13	1444	2143	1500	758	14	13	1831	1210	922	855	30	23
lysR	92	49	91	68	72	58	64	97	114	72	4	4	68	104	124	79	4	4	86	49	86	64	71	56
ygeA	205	125	284	202	132	93	450	599	727	358	13	22	453	602	729	359	13	22	205	125	282	199	132	93
araE	349	284	380	333	244	235	135	199	236	105	34	48	142	210	253	111	36	51	325	263	357	316	226	225
kduD	60	50	118	90	113	83	102	118	219	119	11	9	103	120	222	119	11	9	60	48	117	89	113	80
kduI	45	37	99	78	81	50	65	91	202	92	13	16	67	97	213	98	14	18	42	35	94	70	76	45
yqeF	1173	817	6353	5556	2903	2083	733	980	5164	2217	149	185	740	992	5219	2238	153	188	1137	803	6231	5455	2861	2054
yqeG	70	58	106	79	81	69	51	82	80	43	8	8	51	85	81	48	9	8	68	53	102	77	78	65
yqeH	14	15	47	22	23	11	34	51	35	25	3	2	34	51	35	25	3	2	14	15	47	22	23	11
yqeI	33	30	42	21	11	10	56	99	65	32	1	1	56	101	65	32	1	1	33	30	40	21	11	10
ygeH	5	6	10	6	19	12	13	32	21	13	2	4	13	32	21	13	2	4	5	6	10	6	19	12
ygeR	460	290	657	611	392	310	668	833	1117	544	38	55	624	755	1012	489	29	35	427	269	582	558	331	267
xdhA	61	36	355	347	213	155	49	80	178	90	13	12	49	80	178	90	13	12	61	36	355	347	213	155
xdhB	17	14	122	111	72	39	23	39	71	34	1	8	23	39	71	34	1	8	17	14	122	110	72	39
ygeV	148	118	2790	2293	4886	4008	112	155	1376	508	542	614	113	157	1393	512	551	622	143	118	2738	2254	4814	3962
ygeW	12	4	49	40	37	24	13	12	28	10	2	2	14	12	30	10	2	2	11	4	49	37	36	24
ygeX	17	16	58	31	12	12	25	27	51	23	2	5	25	28	51	23	2	5	17	16	58	31	12	12
ygeY	9	9	47	41	32	14	32	28	41	24	0	3	33	29	46	26	0	3	8	9	43	40	32	14
hyuA	14	10	24	22	25	17	44	44	53	18	2	3	44	44	53	18	2	3	14	10	24	21	25	17
yqeA	32	31	99	65	122	111	67	107	138	71	30	26	68	109	139	72	30	28	30	31	97	65	120	108
yqeB	36	23	336	297	879	623	83	138	407	144	155	190	83	140	410	147	156	193	36	23	332	297	869	622
yqeC	5	3	217	177	610	373	14	32	195	58	98	83	15	32	199	58	98	84	5	3	217	175	609	369
ssnA	13	4	33	16	72	61	15	15	20	9	2	4	16	18	22	12	2	5	10	4	30	13	57	56
ygfM	13	8	12	28	46	27	21	37	30	12	1	5	21	37	30	12	1	5	13	8	12	28	46	27
xdhD	61	55	122	118	299	200	99	152	158	95	26	22	101	154	157	97	26	23	60	55	122	118	298	198
ygfO	27	20	36	46	36	35	99	105	96	65	48	68	100	110	100	68	54	75	27	19	36	44	33	32
guaD	127	121	201	167	75	51	186	222	214	111	12	13	188	227	216	112	12	13	126	120	199	165	74	51
ygfT	56	36	147	170	123	95	41	61	159	62	10	16	44	61	169	63	10	18	56	35	144	162	117	92
ygfU	3	8	111	75	53	32	7	15	41	22	3	4	8	13	38	22	2	3	3	7	101	72	50	30
lysS	5423	3784	3967	3484	582	474	5923	8635	5726	3111	83	86	6442	9330	6174	3412	86	86	5075	3525	3734	3239	540	446
prfB	4244	2911	2960	2705	537	478	4818	6345	4401	2499	31	35	4958	6533	4535	2565	34	35	4055	2807	2842	2577	511	462
recJ	1209	879	739	633	160	132	1155	1790	1032	623	32	19	1245	1913	1101	670	34	22	1144	839	703	602	153	125
dsbC	783	571	651	591	178	152	1310	1757	1289	734	37	42	1316	1769	1296	735	37	42	779	570	646	588	178	152
xerD	653	450	589	519	236	194	953	1296	994	555	74	61	1001	1359	1043	595	75	65	588	414	550	476	221	185
ygfZ	909	570	1066	919	617	499	1488	2151	2234	1171	155	155	1495	2160	2247	1176	155	156	906	565	1064	914	614	497
yqfA	116	90	204	179	852	616	350	420	600	322	94	132	380	440	624	336	97	136	111	86	192	170	828	594
bglA	1198	827	926	885	399	314	2251	3267	2391	1519	94	96	2453	3565	2621	1638	106	103	1096	769	848	816	367	285
ygfF	33	29	19	24	12	6	84	118	116	48	3	7	102	135	126	53	4	8	32	27	17	22	11	5
gcvP	2529	1899	1126	986	228	173	2703	4464	2815	1227	23	22	2840	4698	2970	1305	26	23	2396	1802	1066	939	213	169
gcvT	2242	1700	907	787	160	127	1865	2755	1461	693	26	25	1878	2782	1477	699	26	25	2228	1694	902	783	158	127
visC	525	365	469	406	196	159	877	1242	990	601	16	22	982	1366	1102	645	17	24	490	347	446	385	187	153
serA	22724	15304	5919	5939	1456	1200	34874	50555	16583	11578	123	118	35610	51539	16861	11784	126	121	22500	15145	5842	5878	1402	1148
rpiA	1453	1058	1560	1498	594	440	3071	4464	3556	1902	94	89	3076	4474	3563	1905	94	89	1451	1057	1559	1497	594	440
argP	565	401	514	448	507	371	663	941	801	446	46	44	665	945	801	446	46	44	564	401	513	448	507	371
yliK	48	33	58	39	32	19	46	80	83	38	4	7	47	80	84	38	4	7	48	32	57	39	32	19
argK	10	13	10	16	12	5	21	25	28	18	3	2	21	25	29	19	3	2	10	13	10	16	12	5
ygfG	11	5	19	16	5	3	38	37	37	21	1	1	38	37	37	21	1	1	11	5	19	16	5	3
ygfH	30	28	48	49	24	19	56	75	78	52	5	7	56	76	78	52	5	7	30	28	48	49	24	19
ygfI	47	44	118	76	78	86	73	115	120	47	8	11	73	115	120	47	8	11	47	44	117	76	77	86
yggE	430	334	548	507	388	253	1216	1811	1460	892	144	149	1221	1828	1473	896	144	151	428	331	545	503	387	253
argO	124	78	140	122	64	52	182	206	173	71	7	3	254	308	249	111	8	6	95	53	96	84	40	38
mscS	2076	1593	771	688	224	172	2494	4012	1807	1300	23	22	2498	4019	1808	1300	23	22	2071	1590	771	686	224	172
fbaA	13947	10631	10477	10134	2404	1957	19089	28175	17142	9705	480	533	19427	28689	17469	9915	494	543	13501	10335	10132	9808	2355	1908
pgk	11509	8717	8986	8268	2284	1941	17599	25588	18382	10606	861	951	17603	25594	18386	10606	861	951	11507	8714	8984	8265	2284	1940
epd	2469	1738	1618	1544	691	564	3667	5141	3393	1943	200	238	3669	5143	3394	1943	200	238	2468	1738	1618	1544	690	564
yggF	13	7	17	13	13	14	40	40	52	37	11	16	42	41	63	40	11	16	11	6	17	11	12	13
cmtA	16	10	40	31	14	5	13	17	31	15	0	0	13	18	32	17	0	1	14	10	37	30	12	3
tktA	7882	4872	9907	8983	2293	1883	5494	7299	5715	3959	104	105	5810	7720	6046	4171	108	111	7551	4680	9481	8632	2202	1829
